Date,amgn,gd,nwl,zion,mat,vno,sbac,flir,wfc,aee,fcx,ksu,mtb,duk,tss,etr,pnr,incy,regn,mdlz,wynn,pep,dva,ads,mnst,sti,akam,tfx,wat,antm,hon,o,usb,ma,rtn,sna,dre,csx,pcar,pru,amp,ndaq,ual,apa,re,gww,dte,cf,aig,msci
2017-06-16,159.8868,156.46443,46.079174,39.449875,20.010733,96.50009,110.44202,34.02687,52.80592,41.516476,12.575452,97.452156,140.34317,68.046974,59.719868,74.67717,61.61931,123.962074,547.4092,46.73577,130.4662,105.369865,75.6564,255.09148,50.917145,46.744255,56.437157,191.81902,163.57059,159.85065,97.902855,43.521767,40.82202,89.55534,114.5951,106.44709,18.627337,35.004635,54.151203,75.64584,106.53167,49.945675,55.120636,69.35822,162.48856,183.09665,74.11321,42.4559,254.35349,74.67984
2017-06-19,159.16937,156.00159,45.799294,39.36773,19.786701,96.07319,110.54105,33.680473,52.52411,41.369694,12.182727,97.33152,139.50854,67.95732,58.746647,74.10549,61.448975,123.03111,544.2123,46.444527,128.85663,105.20356,75.64472,254.28127,50.64718,46.679382,55.934822,189.53908,162.4247,159.22652,97.54169,43.508698,40.67144,89.97267,114.510345,106.93779,18.589186,34.82169,53.936195,75.84836,106.2725,49.92089,54.72335,68.44311,162.30545,182.9069,74.04717,42.23388,252.90189,73.763145
2017-06-20,159.92719,156.1995,46.20119,39.626534,20.380634,96.269104,110.00635,33.59129,52.876003,41.470318,12.245831,97.73154,140.27965,68.115845,59.332817,74.3249,61.570206,123.01796,544.7604,46.564934,131.33826,105.20259,75.70663,256.77167,50.87761,46.924507,56.150604,191.12373,163.13622,159.71422,98.029396,43.78897,40.925114,89.980835,114.98396,107.17,18.696278,34.961575,54.123642,75.758064,108.06997,50.29656,55.316338,68.893196,163.06604,183.47787,74.413956,42.320618,254.29245,74.52224
2017-06-21,160.75037,156.72032,46.296867,39.97244,20.88075,96.22737,110.27023,33.668648,53.128292,41.577515,12.35559,98.023125,140.65927,68.11823,59.641724,74.583565,61.602463,123.38502,545.7492,46.62905,132.98216,105.37481,75.68098,258.76447,51.112488,47.05753,56.306084,191.90543,163.4366,159.95407,98.34047,43.94537,40.954662,89.85298,115.04409,107.11324,18.795525,35.06206,54.307312,75.663284,109.21909,50.540913,55.47707,69.2217,163.88206,183.89258,74.89531,42.168873,256.98782,74.86373
2017-06-22,161.41692,156.90825,46.222443,40.16538,20.749325,96.08545,110.4041,33.70467,53.132874,41.56913,12.386643,97.75961,140.6278,68.128136,59.538322,74.66821,61.53328,124.000885,547.95294,46.59662,133.62024,105.48292,75.677475,260.0258,51.21173,47.054638,56.253025,191.97174,163.348,159.91052,98.29585,44.01808,40.87039,89.79742,114.86434,107.17985,18.837805,35.05421,54.325794,75.62873,109.76126,50.607918,55.383495,69.011795,164.40181,183.85172,75.27662,41.915623,259.16086,74.66107
2017-06-23,161.86357,156.71622,45.925896,40.00753,20.859661,95.80067,110.51444,33.5568,52.878616,41.471653,12.2221155,97.3819,140.06282,68.07906,58.98269,74.47528,61.31731,124.992584,550.6741,46.43958,132.51936,105.459854,75.64308,260.29465,51.121445,46.92889,56.101055,191.05267,162.86465,159.57524,97.97482,43.972767,40.736626,89.92545,114.5301,107.41355,18.81963,34.96145,54.17845,75.66266,109.757286,50.54064,55.134544,68.388336,164.57733,183.32967,75.48847,41.636837,259.68002,73.971855
2017-06-26,161.68172,156.08067,45.40795,39.581207,20.727768,95.53775,110.62696,33.247635,52.413338,41.29791,11.825927,97.04971,138.97264,67.99348,58.01303,73.886795,61.03295,125.656685,551.14294,46.178734,130.34114,105.261566,75.599945,259.56058,50.84136,46.71584,55.93008,189.03835,161.88702,158.94148,97.43421,43.832882,40.575527,90.25925,114.218025,107.80066,18.751583,34.768703,53.922264,75.752075,109.32843,50.40227,54.76457,67.293846,164.44818,182.56749,75.47705,41.35309,257.9825,73.04797
2017-06-27,163.07323,156.10783,45.659836,39.44668,20.879505,95.97735,110.0679,33.22551,52.604317,41.367397,11.939945,97.353325,139.37677,68.141556,58.571617,73.93628,61.09921,127.025055,555.02563,46.333164,132.36879,105.243835,75.64195,261.46387,51.172466,46.78823,56.418724,190.82611,162.70595,159.22966,97.82638,44.075005,40.80032,90.21046,114.40269,107.88088,18.833858,34.946407,54.08136,75.55949,110.67928,50.68879,55.365913,67.605675,165.2071,182.79515,75.857994,41.352367,259.16394,73.78959
2017-06-28,164.27913,156.3813,45.736526,39.61967,21.122576,96.12206,110.29744,33.307587,52.78473,41.44838,12.173045,97.65253,139.64296,68.11503,58.814846,73.96252,61.10267,127.89536,557.5192,46.376892,132.04094,105.3795,75.59013,262.68524,51.405697,46.82811,56.73801,191.72675,163.1255,159.26736,98.0156,44.226288,40.817997,90.00682,114.18073,107.722084,18.909363,35.041985,54.255417,75.38978,111.51578,50.907887,55.49796,68.036,165.93805,183.03474,76.29573,41.16386,261.64355,74.1175
2017-06-29,165.03673,156.28668,45.707623,39.807713,21.196692,96.08389,110.43009,33.3291,52.808544,41.422363,12.3008375,97.78731,139.5374,68.0985,58.676296,73.78536,61.05833,128.23038,558.8694,46.306263,131.05977,105.41742,75.581894,263.1185,51.40361,46.832584,56.859024,191.89825,163.00241,159.03423,97.893906,44.33175,40.740208,89.90287,113.83615,107.73341,18.934826,35.0751,54.323727,75.342705,111.84629,51.027992,55.384144,68.20053,166.39189,183.06845,76.54469,40.910934,263.6442,74.043755
